top - 11:53:40 up 1 day, 16:19,  1 user,  load average: 0.00, 0.00, 0.00
Tasks: 284 total,   1 running, 283 sleeping,   0 stopped,   0 zombie
Cpu(s):  2.3%us,  0.3%sy,  0.0%ni, 97.1%id,  0.2%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    63.047G total,   14.542G used,   48.505G free,  215.719M buffers
Swap: 8015.996M total,    0.000k used, 8015.996M free,   11.964G cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                 
   12 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/2                                                               
   13 root      20   0     0    0    0 S  0.0  0.0   0:00.20 ksoftirqd/2                                                             
   14 root      RT   0     0    0    0 S  0.0  0.0   0:00.18 watchdog/2                                                              
   15 root      RT   0     0    0    0 S  0.0  0.0   0:00.01 migration/3                                                             
   16 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/3                                                               
   17 root      20   0     0    0    0 S  0.0  0.0   0:00.11 ksoftirqd/3                                                             
   18 root      RT   0     0    0    0 S  0.0  0.0   0:00.18 watchdog/3                                                              
   19 root      RT   0     0    0    0 S  0.0  0.0   0:00.29 migration/4                                                             
   20 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/4                                                               
   21 root      20   0     0    0    0 S  0.0  0.0   0:01.62 ksoftirqd/4                                                             
   22 root      RT   0     0    0    0 S  0.0  0.0   0:00.19 watchdog/4                                                              
   23 root      RT   0     0    0    0 S  0.0  0.0   0:00.84 migration/5                                                             
   24 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/5                                                               
   25 root      20   0     0    0    0 S  0.0  0.0   0:00.30 ksoftirqd/5                                                             
   26 root      RT   0     0    0    0 S  0.0  0.0   0:00.18 watchdog/5                                                              
   27 root      RT   0     0    0    0 S  0.0  0.0   0:00.14 migration/6                                                             
   28 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/6                                                               
   29 root      20   0     0    0    0 S  0.0  0.0   0:00.18 ksoftirqd/6                                                             
   30 root      RT   0     0    0    0 S  0.0  0.0   0:00.18 watchdog/6                                                              
   31 root      RT   0     0    0    0 S  0.0  0.0   0:00.02 migration/7                                                             
   32 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/7                                                               
   33 root      20   0     0    0    0 S  0.0  0.0   0:00.15 ksoftirqd/7                                                             
   34 root      RT   0     0    0    0 S  0.0  0.0   0:00.18 watchdog/7                                                              
   35 root      20   0     0    0    0 S  0.0  0.0   0:06.35 events/0                                                                
   36 root      20   0     0    0    0 S  0.0  0.0   0:05.84 events/1                                                                
   37 root      20   0     0    0    0 S  0.0  0.0   0:04.95 events/2                                                                
   38 root      20   0     0    0    0 S  0.0  0.0   0:04.46 events/3                                                                
   39 root      20   0     0    0    0 S  0.0  0.0   0:05.18 events/4                                                                
   40 root      20   0     0    0    0 S  0.0  0.0   0:05.82 events/5                                                                
   41 root      20   0     0    0    0 S  0.0  0.0   0:05.10 events/6                                                                
   42 root      20   0     0    0    0 S  0.0  0.0   0:06.66 events/7                                                                
   43 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/0                                                                
   44 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/1                                                                
   45 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/2                                                                
   46 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/3                                                                
   47 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/4                                                                
   48 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/5                                                                
   49 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/6                                                                
   50 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events/7                                                                
   51 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/0                                                           
   52 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/1                                                           
   53 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/2                                                           
   54 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/3                                                           
   55 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/4                                                           
   56 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/5                                                           
   57 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/6                                                           
   58 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_long/7                                                           
   59 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                         
   60 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                         
   61 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                         
   62 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                         
   63 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                         
   64 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                         
   65 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                         
   66 root      20   0     0    0    0 S  0.0  0.0   0:00.00 events_power_ef                                                         
   67 root      20   0     0    0    0 S  0.0  0.0   0:00.00 cgroup                                                                  
   68 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khelper                                                                 
   69 root      20   0     0    0    0 S  0.0  0.0   0:00.00 netns                                                                   
   70 root      20   0     0    0    0 S  0.0  0.0   0:00.00 async/mgr                                                               
   71 root      20   0     0    0    0 S  0.0  0.0   0:00.00 pm                                                                      
   72 root      20   0     0    0    0 S  0.0  0.0   0:00.47 sync_supers                                                             
   73 root      20   0     0    0    0 S  0.0  0.0   0:00.01 bdi-default                                                             
   74 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/0                                                           
   75 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/1                                                           
   76 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/2                                                           
   77 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/3                                                           
   78 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/4                                                           
   79 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/5                                                           
   80 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/6                                                           
   81 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kintegrityd/7                                                           
   82 root      20   0     0    0    0 S  0.0  0.0   0:30.70 kblockd/0                                                               
   83 root      20   0     0    0    0 S  0.0  0.0   0:00.64 kblockd/1                                                               
   84 root      20   0     0    0    0 S  0.0  0.0   0:00.62 kblockd/2                                                               
   85 root      20   0     0    0    0 S  0.0  0.0   0:00.34 kblockd/3                                                               
   86 root      20   0     0    0    0 S  0.0  0.0   0:21.02 kblockd/4                                                               
   87 root      20   0     0    0    0 S  0.0  0.0   0:01.03 kblockd/5                                                               
   88 root      20   0     0    0    0 S  0.0  0.0   0:01.64 kblockd/6                                                               
   89 root      20   0     0    0    0 S  0.0  0.0   0:08.89 kblockd/7                                                               
   90 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpid                                                                  
   91 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_notify                                                            
   92 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kacpi_hotplug                                                           
   93 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_aux                                                                 
   94 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/0                                                               
   95 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/1                                                               
   96 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/2                                                               
   97 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/3                                                               
   98 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/4                                                               
   99 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/5                                                               
  100 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/6                                                               
  101 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ata_sff/7                                                               
  102 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ksuspend_usbd                                                           
  103 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khubd                                                                   
  104 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kseriod                                                                 
  105 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md/0                                                                    
  106 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md/1                                                                    
  107 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md/2                                                                    
  108 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md/3                                                                    
  109 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md/4                                                                    
  110 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md/5                                                                    
  111 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md/6                                                                    
  112 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md/7                                                                    
  113 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md_misc/0                                                               
  114 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md_misc/1                                                               
  115 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md_misc/2                                                               
  116 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md_misc/3                                                               
  117 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md_misc/4                                                               
  118 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md_misc/5                                                               
  119 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md_misc/6                                                               
  120 root      20   0     0    0    0 S  0.0  0.0   0:00.00 md_misc/7                                                               
  121 root      20   0     0    0    0 S  0.0  0.0   0:00.00 linkwatch                                                               
  124 root      20   0     0    0    0 S  0.0  0.0   0:00.11 khungtaskd                                                              
  125 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lru-add-drain/0                                                         
  126 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lru-add-drain/1                                                         
  127 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lru-add-drain/2                                                         
  128 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lru-add-drain/3                                                         
  129 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lru-add-drain/4                                                         
  130 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lru-add-drain/5                                                         
  131 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lru-add-drain/6                                                         
  132 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lru-add-drain/7                                                         
  133 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kswapd0                                                                 
  134 root      25   5     0    0    0 S  0.0  0.0   0:00.00 ksmd                                                                    
  135 root      39  19     0    0    0 S  0.0  0.0   0:01.09 khugepaged                                                              
  136 root      20   0     0    0    0 S  0.0  0.0   0:00.00 aio/0                                                                   
  137 root      20   0     0    0    0 S  0.0  0.0   0:00.00 aio/1                                                                   
  138 root      20   0     0    0    0 S  0.0  0.0   0:00.00 aio/2                                                                   
  139 root      20   0     0    0    0 S  0.0  0.0   0:00.00 aio/3                                                                   
  140 root      20   0     0    0    0 S  0.0  0.0   0:00.00 aio/4                                                                   
  141 root      20   0     0    0    0 S  0.0  0.0   0:00.00 aio/5                                                                   
  142 root      20   0     0    0    0 S  0.0  0.0   0:00.00 aio/6                                                                   
  143 root      20   0     0    0    0 S  0.0  0.0   0:00.00 aio/7                                                                   
  144 root      20   0     0    0    0 S  0.0  0.0   0:00.00 crypto/0                                                                
  145 root      20   0     0    0    0 S  0.0  0.0   0:00.00 crypto/1                                                                
  146 root      20   0     0    0    0 S  0.0  0.0   0:00.00 crypto/2                                                                
