
TOTAL_KB_COMMITTED  
--------------------
             4889472

  1 record(s) selected.



SET_TYPE             POOL_TYPE            DBNAME               KB_COMMITTED        
-------------------- -------------------- -------------------- --------------------
APPLICATION          APPLICATION          IOCDB                                   1                44510                    -                  128                  128
APPLICATION          APPLICATION          IOCDB                                   1                44540                    -                  128                  128
APPLICATION          APPLICATION          IOCDB                                   1                41311                    -                  128                  128
APPLICATION          APPLICATION          IOCDB                                   1                39781                    -                  128                  128
APPLICATION          APPLICATION          IOCDB                                   1                 1010                    -                  128                  128
APPLICATION          APPLICATION          WIHDB                                   1                48253                    -                  128                  128
APPLICATION          APPLICATION          WIHDB                                   1                47804                    -                  128                  128
APPLICATION          APPLICATION          WIHDB                                   1                42854                    -                  128                  128
APPLICATION          APPLICATION          WIHDB                                   1                44709                    -                  128                  128
APPLICATION          APPLICATION          WIHDB                                   1                44702                    -                  128                  128
APPLICATION          APPLICATION          WIHDB                                   1                19447                    -                  128                  128
APPLICATION          APPLICATION          WIHDB                                   1                 4259                    -                  128                  128
APPLICATION          APPLICATION          WIHDB                                   1                54714                    -                  128                  128
APPLICATION          APPLICATION          IOCDATA                                 1                47783                    -                  128                  128
DBMS                 FEDERATED            -                                      83                    -                    -                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2800                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2799                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2798                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2797                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2796                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2795                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2794                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2793                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2790                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2789                   64                   64
PRIVATE              CLIENT_CONTEXT       -                                      90                    -                 2615                   64                   64
PRIVATE              CLIENT_CONTEXT       -                                      90                    -                 2543                   64                   64
PRIVATE              CLIENT_CONTEXT       -                                      90                    -                 2538                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2236                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2235                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2234                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2233                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2232                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2231                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2230                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2229                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2226                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 2225                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1716                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1715                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1714                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1713                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1712                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1711                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1710                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1709                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                 1705                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                   21                    0                   64
PRIVATE              PRIVATE              -                                      88                    -                   16                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                   13                   64                   64
PRIVATE              PRIVATE              -                                      88                    -                    0                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1023                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1022                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1021                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1020                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1019                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1018                    -                   64                   64
